id,x,y,longitude,latitude,depth,strat,depth_bin
tau_0001,662.5992999960599,-1578.4116685357499,-169.49268165847226,-14.272685277944094,5.314730766163294,1,SHAL
tau_0002,662.30349999606,-1577.9056685357505,-169.4954534549821,-14.268129045829319,5.78304832666777,1,SHAL
tau_0003,662.4020999960601,-1578.1080685357501,-169.49452751061878,-14.269952698816473,5.980075096430422,1,SHAL
tau_0004,661.8104999960606,-1576.6912685357524,-169.50009503248623,-14.257181270707342,10.014006552574996,2,MID
tau_0005,662.2048999960602,-1577.9056685357505,-169.4963672488953,-14.268134813230615,12.061433006944474,2,MID
tau_0006,661.3174999960609,-1575.7804685357542,-169.50471804214257,-14.248977505248664,12.104517120341972,2,MID
tau_0007,662.2048999960602,-1577.8044685357509,-169.4963733163111,-14.267220100407036,9.120422450556953,2,MID
tau_0008,662.5992999960599,-1578.6140685357495,-169.4926694885671,-14.274514699565128,12.309304140300817,2,MID
tau_0009,661.7118999960605,-1576.5900685357528,-169.5010148281008,-14.256272300384495,15.689698684593827,2,MID
tau_0010,663.0922999960594,-1578.6140685357495,-169.48810040229822,-14.274485744013068,10.223207013844187,2,MID
tau_0011,662.2048999960602,-1577.7032685357508,-169.49637938329704,-14.266305387510846,6.027780276563036,2,MID
tau_0012,662.5992999960599,-1578.7152685357491,-169.49266340296808,-14.27542941026667,16.155869109332908,2,MID
tau_0013,661.8104999960606,-1577.0960685357518,-169.5000708380599,-14.260840130908347,15.707708642713822,2,MID
tau_0014,661.5146999960607,-1576.0840685357534,-169.50287250152255,-14.25171019671068,9.513101415223817,2,MID
tau_0015,662.30349999606,-1578.0068685357505,-169.49544738345224,-14.269043758195409,7.874981297858175,2,MID
tau_0016,662.4020999960601,-1578.3104685357498,-169.4945153580386,-14.27178212241528,12.260664817518057,2,MID
tau_0017,662.1062999960602,-1577.8044685357509,-169.49728710694842,-14.267225863922816,15.933970471806726,2,MID
tau_0018,662.7964999960598,-1578.7152685357491,-169.49083575985952,-14.275417837781253,11.743001527426964,2,MID
tau_0019,661.6132999960607,-1576.286468535753,-169.50194669453737,-14.25353389336394,11.382748623025241,2,MID
tau_0020,662.5006999960599,-1578.6140685357495,-169.49358330704922,-14.274520480168174,15.424033104674011,2,MID
tau_0021,662.5006999960599,-1578.5128685357495,-169.49358938853152,-14.273605769008364,12.982277742148215,2,MID
tau_0022,662.8950999960596,-1578.7152685357491,-169.4899219389195,-14.27541204628452,11.629468510333053,2,MID
tau_0023,662.0076999960604,-1577.6020685357512,-169.4982130168014,-14.265402196534847,11.118204163397625,2,MID
tau_0024,662.1062999960602,-1577.7032685357508,-169.49729317025069,-14.26631115064197,13.446293300577828,2,MID
tau_0025,662.8950999960596,-1578.6140685357495,-169.48992803557644,-14.274497336741225,9.35149994511547,2,MID
tau_0026,661.7118999960605,-1576.7924685357525,-169.50100273996455,-14.25810173154257,17.92548197192687,2,MID
tau_0027,661.9090999960604,-1577.3996685357515,-169.49913891061144,-14.263578523819158,11.079950164103378,2,MID
tau_0028,661.7118999960605,-1576.6912685357524,-169.5010087842469,-14.257187015999802,15.125027374845828,2,MID
tau_0029,661.7118999960605,-1576.3876685357532,-169.50102691452324,-14.254442868936273,10.106503454046987,2,MID
tau_0030,662.7964999960598,-1578.8164685357492,-169.49082966645702,-14.27633254763821,16.291459629026523,2,MID
tau_0031,661.8104999960606,-1576.893668535752,-169.50008293613055,-14.259010700952954,10.533079772050845,2,MID
tau_0032,662.0076999960604,-1577.5008685357511,-169.49821907556134,-14.264487482724398,7.64198767127423,2,MID
tau_0033,662.9936999960596,-1578.7152685357491,-169.4890081183894,-14.275406251285107,12.062258488389775,2,MID
tau_0034,662.5992999960599,-1578.5128685357495,-169.49267557373514,-14.273599988790929,9.960403255696493,2,MID
tau_0035,662.30349999606,-1578.1080685357501,-169.49544131149224,-14.269958470488875,11.803745798559117,2,MID
tau_0036,662.9936999960596,-1578.5128685357495,-169.48902031864316,-14.273576832898957,7.2824554446800365,2,MID
tau_0037,662.6978999960597,-1578.7152685357491,-169.4917495812091,-14.275423625775307,13.596907848641536,2,MID
tau_0038,661.8104999960606,-1577.1972685357518,-169.50006478838145,-14.26175484577721,17.978584116404367,2,MID
tau_0039,661.4160999960609,-1576.286468535753,-169.50377417064774,-14.253545363393597,28.01790126968274,3,DEEP
