id,x,y,longitude,latitude,depth,strat,depth_bin
tut_0001,524.5128485874156,-1580.0882119847256,-170.77271990726425,-14.292504183839561,1.9770934327558995,1,SHAL
tut_0002,529.7076485874063,-1579.4762119847264,-170.72456146003879,-14.2869198080226,2.6219762905023356,1,SHAL
tut_0003,518.9184485874257,-1581.210211984724,-170.82458242628073,-14.302692888976686,5.5448002905103,1,SHAL
tut_0004,526.8105485874116,-1580.1902119847255,-170.75141504127052,-14.293405137910556,5.7744817285923755,1,SHAL
tut_0005,527.0103485874113,-1580.0882119847256,-170.7495635469908,-14.292480943223412,5.800502153957372,1,SHAL
tut_0006,520.6167485874228,-1580.1902119847255,-170.80884312790255,-14.293458196405645,5.280598129469753,1,SHAL
tut_0007,516.7206485874297,-1583.3522119847212,-170.84494774867042,-14.322074429671698,4.39400014369195,2,SHAL
tut_0008,520.8165485874224,-1580.1902119847255,-170.80699060545027,-14.29345670114923,2.166604216628133,2,SHAL
tut_0009,529.907448587406,-1578.6602119847275,-170.72271803550194,-14.27953964848993,5.579627690796802,2,SHAL
tut_0010,535.0023485873969,-1577.4362119847292,-170.6754978588525,-14.268413002004106,0.22448280424364173,2,SHAL
tut_0011,525.8115485874134,-1588.1462119847147,-170.76060133591156,-14.365350159479597,3.8770358032835555,3,SHAL
tut_0012,547.190148587375,-1579.4762119847264,-170.56247280123375,-14.286677105966358,3.5069711660444,4,SHAL
tut_0013,548.5887485873725,-1578.6602119847275,-170.54952052676947,-14.279275056002144,5.774637252399336,5,SHAL
tut_0014,536.1012485873948,-1578.0482119847284,-170.66530205380414,-14.273932397491649,3.0093689648923094,6,SHAL
tut_0015,547.190148587375,-1576.0082119847311,-170.56253331952195,-14.255321085077545,4.442271649349789,7,SHAL
tut_0016,548.2890485873729,-1578.4562119847278,-170.55230271115235,-14.277435826605833,3.6296170217290853,7,SHAL
tut_0017,543.5937485873815,-1576.0082119847311,-170.5958724006893,-14.255379892856736,4.486050864206529,7,SHAL
tut_0018,547.5897485873743,-1576.3142119847307,-170.55882360760086,-14.258080972962727,5.768227474562359,7,SHAL
tut_0019,536.7006485873937,-1579.8842119847259,-170.6597200919845,-14.290524949953188,3.527117332149026,8,SHAL
tut_0020,536.4009485873944,-1579.9862119847257,-170.66249743136564,-14.291451151559267,4.502530817491192,8,SHAL
tut_0021,520.7166485874225,-1584.27021198472,-170.8078855109637,-14.330347633604841,4.201194370598887,9,SHAL
tut_0022,517.4199485874285,-1583.7602119847206,-170.8384604485558,-14.325759129102421,4.3956401358769766,9,SHAL
tut_0023,517.7196485874279,-1583.8622119847205,-170.8356805921344,-14.326679477298615,5.238100257748127,9,SHAL
tut_0024,523.813548587417,-1587.5342119847155,-170.77913784446486,-14.359834668336363,2.7264333568509342,9,SHAL
tut_0025,518.2191485874271,-1584.0662119847202,-170.8310472183644,-14.328520736106057,4.200274485982161,9,SHAL
